Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue price level,Venue Rating,Total user ratings,Venue Category
Dublin 6,53.32255600000001,-6.272853,STD Clinic,53.32109620000001,-6.279520100000001,4e3dd6e31317422caaec189ec8d0db03e1559ab1,0,5.0,6,"['health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Amazon Artificial Grass,53.319582,-6.276975000000001,e616393e0d033625947e2ed6952fef85c94bab79,0,4.5,25,"['park', 'general_contractor', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,CarCompare.ie,53.318611600000004,-6.2827699,e451339d897e64e32a013b15ed1e65271f78d28d,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Griffith Halls of Residence,53.330357400000004,-6.279033900000001,8ed96f051185c5be952aafbdccda33f36cabb855,0,3.7,136,"['lodging', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Beckett and Bull,53.31825479999999,-6.2788865,6f6fd225fdb6c5275b30ba0e9c7115788f452baa,2,4.5,359,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Terenure Plumbing Services,53.3187444,-6.280555800000001,6a28ac89b7622e230abc3e76d1b4600d972b3fa7,0,3.7,3,"['plumber', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Ranelagh Osteopathic Clinic,53.3217787,-6.2803420999999995,37d176504b271ac63c5591327c71b6b11e17604a,0,0.0,0,"['health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Traffic Management Draughting,53.3247805,-6.274334400000001,ba4dba457d70f2b101ba439e93a0afd863f0075d,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Association of Optometrists Ireland,53.3283745,-6.276828600000001,e4a3050dcd442c8e686db2bdc155373202350492,0,5.0,1,"['health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Terenure Handyman,53.3187074,-6.280582900000001,a6f8bf077dff88bb6f00926ed4b0ea342df23a23,0,4.7,3,"['general_contractor', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Kildorcet Limited trading as Halton Construction,53.3238628,-6.272589399999998,707a4a376af2a9bfd4fb99a82bb1605f951ac040,0,3.0,1,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Sisters of St. Clare,53.32708639999999,-6.2777461,80aa359e97cc8b0ee331cf57fe8cf5fe72214838,0,4.0,4,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,O'Gradys Hearing Care Services,53.3187714,-6.2793345999999985,3afac7793a27c0ce99965264f589b28c392fc742,0,0.0,0,"['doctor', 'health', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.272853,Londubh Books,53.32109339999999,-6.2811463,767120df26f43195d0281e8e0ef4c7033b3a7230,0,0.0,0,"['point_of_interest', 'establishment']"
