Name,Commercial Type,Price,sq metres,Neighbourhood,Price per sq metres
"3 Nassau Street, Dublin 2",Retail Unit For Sale,700000.0,151.0,Dublin 2,4635.76
"46 Merrion Square, Dublin 2",Investment Property For Sale,5750000.0,739.0,Dublin 2,7780.78
"46 & 47 Merrion Square, Dublin 2",Investment Property For Sale,12000000.0,1531.0,Dublin 2,7838.01
"67 Camden Street, Dublin 2",Retail Unit For Sale,700000.0,170.0,Dublin 2,4117.65
"26-28 Dawson Street, Dublin 2",Investment Property For Sale,4750000.0,414.0,Dublin 2,11473.43
"29 Merrion Square, Dublin 2",Office For Sale,4000000.0,443.0,Dublin 2,9029.35
"26 Parliament Street, Dublin 2",Investment Property For Sale,1250000.0,278.0,Dublin 2,4496.4
"17 Clanwilliam Square, Grand Canal Dock, Dublin 2",Office For Sale,550000.0,104.0,Dublin 2,5288.46
"94 Lower Baggot Street, Dublin 2",Investment Property For Sale,2400000.0,332.0,Dublin 2,7228.92
"16 Fairview, Fairview, Dublin 3",Retail Unit For Sale,495000.0,125.0,Dublin 3,3960.0
"80 Philipsburgh Avenue, Fairview, Dublin 3, Fairview, Dublin 3",Development Land For Sale,3000000.0,1006.0,Dublin 3,2982.11
"147 / 148 Church Road, East Wall, Dublin 3",Investment Property For Sale,700000.0,270.0,Dublin 3,2592.59
"146 North Strand Road, North Strand, Dublin 3",Investment Property For Sale,650000.0,210.0,Dublin 3,3095.24
"93A Howth Road, Clontarf, Dublin 3",Restaurant / Bar / Hotel For Sale,195000.0,71.0,Dublin 3,2746.48
"202 Clonliffe Road, Drumcondra, Dublin 3",Investment Property For Sale,400000.0,279.0,Dublin 3,1433.69
"Tudor House & Beechfield House, Clontarf, Dublin 3",Investment Property For Sale,4500000.0,817.0,Dublin 3,5507.96
"Unit 24 Merrion Shopping Centre, Dublin 4",Investment Property For Sale,225000.0,54.0,Dublin 4,4166.67
"Site at Donnybrook Road, Dublin 4",Investment Property For Sale,2500000.0,570.0,Dublin 4,4385.96
"Block B, The Willows, Claremont Road, Sandymount, Sandymount, Dublin 4",Investment Property For Sale,8000000.0,1823.0,Dublin 4,4388.37
"52 Pembroke Road, Dublin 4",Investment Property For Sale,1200000.0,300.0,Dublin 4,4000.0
"120 Pembroke Road, Ballsbridge, Dublin 4",Investment Property For Sale,1975000.0,400.0,Dublin 4,4937.5
"10 Thorncastle Street, Ringsend, Dublin 4",Investment Property For Sale,850000.0,83.0,Dublin 4,10240.96
"72 Haddington Road, Dublin 4",Office For Sale,1550000.0,240.0,Dublin 4,6458.33
"Appian Way / Leeson Street Upper, Dublin 4",Development Land For Sale,4500000.0,930.0,Dublin 4,4838.71
"Circle K, Donnybrook, Dublin 4",Investment Property For Sale,4000000.0,1052.0,Dublin 4,3802.28
"Castleview House, 22 Sandymount Green, Sandymount, Dublin 4",Office For Sale,1450000.0,164.0,Dublin 4,8841.46
"51 Kilbarrack Road, D05 R6K2, Kilbarrack, Dublin 5",Investment Property For Sale,650000.0,228.0,Dublin 5,2850.88
"McAloons, 15 Edenmore Shopping Centre, Edenmore, Dublin 5",Retail Unit For Sale,325000.0,180.0,Dublin 5,1805.56
"Castle Petrol Filling Station, Artane, Dublin 5",Investment Property For Sale,2400000.0,250.0,Dublin 5,9600.0
"3 Malahide Road, Artane, Dublin 5",Investment Property For Sale,650000.0,186.0,Dublin 5,3494.62
