Name,Commercial Type,Price,sq metres,Neighbourhood
"Site at the Corner of Macken St & Pearse St., Grand Canal Dock, Dublin 2",Development Land For Sale,,,Dublin 2
"6 Westmoreland Street, Dublin 2",Investment Property For Sale,,254,Dublin 2
"47 Merrion Square, Dublin 2",Investment Property For Sale,6250000,792,Dublin 2
"14 Wentworth Place, Elbana Villas, Dublin 2",Investment Property For Sale,1050000,170,Dublin 2
"17 Fitzwilliam Place, Dublin 2",Investment Property For Sale,4300000,1103,Dublin 2
"3 & 4 Fownes Street, Dublin 2",Development Land For Sale,,,Dublin 2
"4 St Stephen's Green, Dublin 2",Investment Property For Sale,4250000,297,Dublin 2
"Temple Bar Inn, 40-47 Fleet Street, Dublin 2",Restaurant / Bar / Hotel For Sale,,5574,Dublin 2
"58 Fitzwilliam Square & 58 Pembroke Lane, Dublin 2",Investment Property For Sale,2750000,935,Dublin 2
"Fitzwilliam 28, Fitzwilliam Street Lower, Dublin 2",Investment Property For Sale,168000000,12599,Dublin 2
"33-34 Essex Street, Temple Bar, Dublin 2, Dublin 2",Investment Property For Sale,2500000,166,Dublin 2
"39 Camden Street, Dublin 2",Investment Property For Sale,2200000,458,Dublin 2
"Pearse Street, Dublin 2",Investment Property For Sale,750000,214,Dublin 2
"Dame Street, Dublin 2",Restaurant / Bar / Hotel For Sale,500000,35,Dublin 2
"Pearse Street, Dublin 2",Retail Unit For Sale,750000,232,Dublin 2
"Pearse Street, Dublin 2",Office To Let or For Sale,,,Dublin 2
"3 Nassau Street, Dublin 2",Retail Unit For Sale,700000,151,Dublin 2
"46 Merrion Square, Dublin 2",Investment Property For Sale,5750000,739,Dublin 2
"46 & 47 Merrion Square, Dublin 2",Investment Property For Sale,12000000,1531,Dublin 2
"67 Camden Street, Dublin 2",Retail Unit For Sale,700000,170,Dublin 2
"26-28 Dawson Street, Dublin 2",Investment Property For Sale,4750000,414,Dublin 2
"4 Parliament Street, Temple Bar, D02 DP28, Dublin 2",Retail Unit To Let or For Sale,,379,Dublin 2
"29 Merrion Square, Dublin 2",Office For Sale,4000000,443,Dublin 2
"26 Parliament Street, Dublin 2",Investment Property For Sale,1250000,278,Dublin 2
"17 Clanwilliam Square, Grand Canal Dock, Dublin 2",Office For Sale,550000,104,Dublin 2
"94 Lower Baggot Street, Dublin 2",Investment Property For Sale,2400000,332,Dublin 2
"16 Fairview, Fairview, Dublin 3",Retail Unit For Sale,495000,125,Dublin 3
"80 Philipsburgh Avenue, Fairview, Dublin 3, Fairview, Dublin 3",Development Land For Sale,3000000,1006,Dublin 3
"The Player's Lounge, 47",Development Land For Sale,700000,,47
"147 / 148 Church Road, East Wall, Dublin 3",Investment Property For Sale,700000,270,Dublin 3
"146 North Strand Road, North Strand, Dublin 3",Investment Property For Sale,650000,210,Dublin 3
"93A Howth Road, Clontarf, Dublin 3",Restaurant / Bar / Hotel For Sale,195000,71,Dublin 3
"79 North Strand Road, North Strand, Dublin 3",Retail Unit For Sale,,167,Dublin 3
"202 Clonliffe Road, Drumcondra, Dublin 3",Investment Property For Sale,400000,279,Dublin 3
"Tudor House & Beechfield House, Clontarf, Dublin 3",Investment Property For Sale,4500000,817,Dublin 3
"Appian Way & Leeson St Upper, Dublin 4",Development Land For Sale,,,Dublin 4
"Main Street Donnybrook, Donnybrook, Dublin 4",Retail Unit For Sale,,296,Dublin 4
"Unit 24 Merrion Shopping Centre, Dublin 4",Investment Property For Sale,225000,54,Dublin 4
"Site on Donnybrook Road, Dublin 4",Development Land For Sale,2500000,,Dublin 4
