Name,Commercial Type,Price,sq metres,Neighbourhood
"S4 Unit S4 Henry Road, Parkwest Industrial Park, D12 VKP4, Park West, Dublin 12",Industrial Unit For Sale,575000,696,Dublin 12
"Unit D7 Ballymount Industrial Estate, Dublin City, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,460000,514,Dublin 12
"Unit 9 Parkwest Enterprise Centre Lavery Avenue, Parkwest Enterprise Centre, D12 R928, Park West, Dublin 12",Industrial Unit For Sale,175000,179,Dublin 12
"Unit 12 Parkwest Enterprise Centre Lavery Avenue D12, Parkwest Enterprise Centre, D12 R928, Park West, Dublin 12",Industrial Unit For Sale,395000,421,Dublin 12
"Unit 214 Western Industrial Estate, Walkinstown, Dublin 12",Industrial Unit For Sale,,960,Dublin 12
"Unit 12, Knockmitten Lane, Walkinstown, Dublin 12",Industrial Unit For Sale,,1564,Dublin 12
"Unit 75 Park West Enterprise Centre, Park West, Dublin 12",Investment Property For Sale,150000,160,Dublin 12
"24 Fashion City, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,475000,502,Dublin 12
"Unit 67 Western Parkway Business Park, Lower Ballymount Road, Ballymount, Dublin 12",Investment Property For Sale,220000,286,Dublin 12
"Units 9A & 9B Park West Industrial Park, Nangor Road, Park West, Dublin 12",Investment Property For Sale,3050000,3143,Dublin 12
"Unit 242 Holly Road, Western Industrial Estate, Naas Road, Walkinstown, Dublin 12",Industrial Unit For Sale,750000,858,Dublin 12
"3A Ballymount Cross Industrial Estate, Ballymount Road, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,560000,546,Dublin 12
"Unit 14A Mulcahy Keane Industrial Estate, Greenhills Road, Walkinstown, Dublin 12",Industrial Unit For Sale,150000,172,Dublin 12
"Centro House, Bluebell Avenue, Bluebell Industrial Estate, Bluebell, Dublin 12",Industrial Unit For Sale,995000,1596,Dublin 12
"A3 Parkway Business Centre, Ballymount Road Lower, Ballymount, Dublin 12",Industrial Unit For Sale,430000,399,Dublin 12
"Unit 3 Western Parkway Business Centre, Ballymount, Dublin 12",Office For Sale,1300000,1051,Dublin 12
"ABC Stores, Bunting Road, Walkinstown, Dublin 12",Retail Unit For Sale,500000,110,Dublin 12
"Unit 4B, Block H, Centrepoint Business Park, Oak Road, Park West, Dublin 12",Office For Sale,,183,Dublin 12
"20B Greenhills Industrial Estate, Walkinstown, Dublin 12",Industrial Unit To Let or For Sale,450000,665,Dublin 12
"Industrial Unit to Rear of 13 Hughes Road North, Walkinstown, Dublin 12",Industrial Unit To Let or For Sale,150000,75,Dublin 12
"Unit 28 Western Parkway Business Park, Ballymount, Dublin 12",Investment Property For Sale,225000,203,Dublin 12
"15, 16 & 16A Camac Park, Bluebell, Dublin 12",Development Land For Sale,,,Dublin 12
"Unit 28 Western Parkway Business Park, Ballymount, Dublin 12",Industrial Unit For Sale,225000,203,Dublin 12
"Rear of 3 Hughes Road East, Walkinstown, Dublin 12",Development Land To Let or For Sale,150000,,Dublin 12
"16 & 16B Mountdown Road, Perrystown, Dublin 12",Development Land For Sale,525000,,Dublin 12
"Unit D2C, Bluebell, Dublin 12",Industrial Unit For Sale,345000,465,Dublin 12
"FPTW Opp D2C, Bluebell, Dublin 12",Development Land For Sale,150000,,Dublin 12
"Park West Drive, Park West, Dublin 12",Industrial Unit To Let or For Sale,525000,505,Dublin 12
"Unit S3A Henry Road, Park West Industrial Park, Parkwest, Dublin 12, Park West, Dublin 12",Industrial Unit For Sale,2500000,3004,Dublin 12
"A3 Centrepoint Business Park, Park West, Dublin 12",Office For Sale,,288,Dublin 12
"114 Sundrive Road, Crumlin, Dublin 12",Retail Unit To Let or For Sale,,188,Dublin 12
"Unit 12 Park West Drive, Park West, Dublin 12",Industrial Unit To Let or For Sale,550000,415,Dublin 12
"7 Robinhood Business Park, Robinhood Road, Walkinstown, Dublin 12",Industrial Unit To Let or For Sale,345000,310,Dublin 12
"3B & 3C Avonbeg Industrial Estate, Longmile Rd, Walkinstown, Dublin 12",Industrial Unit For Sale,600000,887,Dublin 12
"Riverview House, Riverview Business Park, Nangor Road, Park West, Dublin 12",Office For Sale,850000,927,Dublin 12
"12 Bluebell Business Park, Old Naas Road, Bluebell, Bluebell, Dublin 12",Office To Let or For Sale,,378,Dublin 12
"Unit 12 Willow Business Park, Knockmitten Lane, Park West, Dublin 12",Investment Property For Sale,220000,203,Dublin 12
"Kylemore road, Bluebell, Dublin 12",Industrial Unit To Let or For Sale,500000,465,Dublin 12
"Unit 40 Park West Enterprise Centre, Park West, Dublin 12",Industrial Unit To Let or For Sale,185000,177,Dublin 12
"Unit 14 Mulcahy Keane Industrial estate, Greenhille Road, Walkinstown, Dublin 12",Industrial Unit For Sale,425000,465,Dublin 12
"3 Ballymount Cottages, Turnpike road, Ballymount, Dublin 12",Commercial Site For Sale,595000,1100,Dublin 12
"Floods Bar, 140 & 142 Sundrive Road, Kimmage, Dublin 12",Restaurant / Bar / Hotel For Sale,975000,582,Dublin 12
"122a Cromwellsfort Road and 2 Cherry Grove Road, Walkinstown, Dublin 12",Commercial Site For Sale,850000,1376,Dublin 12
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",Investment Property For Sale,3300000,933,Dublin 12
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",Retail Unit For Sale,3300000,933,Dublin 12
"86 Captains Avenue, Crumlin, Dublin 12",Development Land For Sale,349950,,Dublin 12
"5 Saint Agnes Road, Crumlin, Dublin 12",Retail Unit To Let or For Sale,550000,115,Dublin 12
"Unit 11 Western Parkway Business Centre, Ballymount Drive, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,180000,196,Dublin 12
"Unit 79 Western Parkway Business Park, Ballymount, Dublin 12",Industrial Unit For Sale,250000,255,Dublin 12
"50 A Robinhood Road, Ballymount, Dublin 12",Industrial Unit For Sale,595000,776,Dublin 12
"2 La Touche Road, Bluebell, Dublin 12",Retail Unit For Sale,170000,76,Dublin 12
"Unit 7 A, Riverview Business Park, New Nangor Road, Park West, Dublin 12",Industrial Unit For Sale,225000,194,Dublin 12
