Name,Latitude,Longitude,Classification,Cluster label
Future Finance Corporation,53.345833400000004,-6.2452492999999984,Company,3
Greenval Insurance DAC,53.343793500000004,-6.2545715999999985,Company,3
ENEL X Enernoc Ireland,53.342259999999996,-6.243861600000002,Company,1
Koooma Limited,53.3482438,-6.256214399999998,Company,3
Brown Bag Films,53.3478304,-6.2793584000000005,Company,0
Openjaw Technologies,53.34620899999999,-6.2683439000000005,Company,0
Zalando Se | Ireland,53.3426657,-6.2389356,Company,1
Tc Aviation Capital Ireland Limited,53.34545110000001,-6.2334333,Company,1
Fidelity International Limited,53.34588839999999,-6.252504099999999,Company,3
Brandes Investment Partners Europe Limited,53.33724849999999,-6.2497941,Company,2
Free Now,53.3377496,-6.2461394,Company,2
Memjet,53.3379603,-6.2495984,Company,2
Telnyx Ireland,53.34465789999999,-6.2492652,Company,3
Adara,53.3374937,-6.2732776,Company,0
Synchronoss Software Ireland Limited,53.3444669,-6.250235900000001,Company,3
Lazard Asset Mangament,53.33696519999999,-6.260999699999998,Company,2
SAS Institute EMEA,53.34957619999999,-6.250260400000001,Company,3
PicMonkey Ireland Limited,53.343441500000004,-6.283721799999999,Company,0
