Name,Price,Cuisines,Link,Ranking,Reviews,Rating,Hotel,Tourism,University,Cafe,Pub,Luas,Museum,Restaurant,Company,Company KNN
Tang Cafe,Cheap,"['Cafe', 'European', 'Healthy']",/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html,1,502,5.0,3.5818708011790608,3.3453445440955503,1.9316906082326635,3.4264702261789064,2.6298080591398176,3.349915781780666,3.104752701422347,2.8108200151037352,3.188292508212743,4.227597551454314
Glovers Alley,Expensive,"['Irish', 'European', 'Vegetarian Friendly']",/Restaurant_Review-g186605-d13477650-Reviews-Glovers_Alley-Dublin_County_Dublin.html,3,193,5.0,2.865496640943249,2.4901436831989434,2.9333079606496,3.513094473469946,2.639719396046124,2.0806930321619044,3.2873852132707198,3.00369533956671,2.970908928107329,3.7376370649439807
Darkey Kelly's Bar & Restaurant,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d6403998-Reviews-Darkey_Kelly_s_Bar_Restaurant-Dublin_County_Dublin.html,4,1645,4.5,3.081390223480069,2.464990716701984,2.2178669946375025,3.0799732370147472,2.352290625763254,0.8395778901705929,3.506544227488768,2.4447254501994897,2.0723901303382832,3.7376370649439807
Mulberry Garden,Expensive,"['Irish', 'European', 'Contemporary']",/Restaurant_Review-g186605-d2239110-Reviews-Mulberry_Garden-Dublin_County_Dublin.html,5,909,4.5,0.5691739903243439,0.2515296649695902,0.07154409660120976,0.5004956510148965,0.32707411790809293,0.24851007283239365,0.18263251184837334,0.3402959546257581,0.7463502916952558,3.3415086388875594
The Landmark,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d15590976-Reviews-The_Landmark-Dublin_County_Dublin.html,6,468,4.5,2.728109815692545,2.213461051732394,2.8617638640483904,2.906724742432668,2.3126452781380307,0.9331241731979572,2.7760141800952747,2.4828091129915424,2.7100486319808317,4.70809196841936
1900 Restaurant,Average,"['French', 'Irish', 'European']",/Restaurant_Review-g186605-d5504360-Reviews-1900_Restaurant-Dublin_County_Dublin.html,7,354,4.5,2.296322650618905,1.8864724872719267,1.8601465116314537,2.781600829678944,1.8831540121981107,3.045377983436969,1.972431127962432,2.142513158365784,3.369445491633922,4.70809196841936
Chapter One,Expensive,"['Irish', 'European', 'Contemporary']",/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html,8,2386,4.5,2.659416403067193,1.9116254537688857,1.2877937388217757,1.8961085240372038,1.5560798942900178,1.2984169696824288,2.2281166445501546,1.695337246872008,1.2970553612956388,2.1403419318582046
Bloom Brasserie,Average,"['Irish', 'European', 'Wine Bar']",/Restaurant_Review-g186605-d1587791-Reviews-Bloom_Brasserie-Dublin_County_Dublin.html,9,1873,4.5,1.9037888641883227,1.157036458860115,1.0016173524169367,1.8961085240372038,1.3215115875074461,0.34078492184950826,1.314954085308288,1.5000049119063201,3.5505984750551005,4.47928335330697
Lemon and Duke Bar,Average,"['Irish', 'Bar', 'European']",/Restaurant_Review-g186605-d11727304-Reviews-Lemon_and_Duke_Bar-Dublin_County_Dublin.html,10,992,4.5,2.924376708907836,3.169273778616837,3.4341166368580684,3.830716713537092,3.0295653143608203,2.838911679475141,3.506544227488768,3.227283295313598,3.4636450430129346,4.70809196841936
Gerry's Coffee Shop,Cheap,"['Irish', 'Cafe', 'European']",/Restaurant_Review-g186605-d5821541-Reviews-Gerry_s_Coffee_Shop-Dublin_County_Dublin.html,11,343,4.5,2.6790430923887225,2.2386140182293532,2.8617638640483904,2.848975244238641,2.210228130106204,0.9709900816755554,2.5568551658772267,2.41646982941829,3.0940929568337303,4.70809196841936
