Latitude,Longitude,Link,Distances min,Distances min class,Distances inv,Distances inv NOR
53.348719700000004,-6.2583985,/Restaurant_Review-g186605-d10387074-Reviews-Tang_Cafe-Dublin_County_Dublin.html,100.0,Closest,0.01,3.349915781780666
53.339644400000005,-6.263466,/Restaurant_Review-g186605-d13477650-Reviews-Glovers_Alley-Dublin_County_Dublin.html,161.0,Closest,0.006211180124223602,2.0806930321619044
53.343513,-6.271059999999999,/Restaurant_Review-g186605-d6403998-Reviews-Darkey_Kelly_s_Bar_Restaurant-Dublin_County_Dublin.html,399.0,Close,0.002506265664160401,0.839577890170593
53.32265875223265,-6.2368013751977935,/Restaurant_Review-g186605-d2239110-Reviews-Mulberry_Garden-Dublin_County_Dublin.html,1348.0,Farest,0.000741839762611276,0.24851007283239365
53.3374409,-6.2659032,/Restaurant_Review-g186605-d15590976-Reviews-The_Landmark-Dublin_County_Dublin.html,359.0,Close,0.002785515320334262,0.9331241731979572
53.33434800000001,-6.2628519436001575,/Restaurant_Review-g186605-d5504360-Reviews-1900_Restaurant-Dublin_County_Dublin.html,110.0,Closest,0.00909090909090909,3.045377983436969
53.354248597767295,-6.263890167284722,/Restaurant_Review-g186605-d696187-Reviews-Chapter_One-Dublin_County_Dublin.html,258.0,Close,0.003875968992248062,1.2984169696824288
53.33374357549518,-6.244836410330085,/Restaurant_Review-g186605-d1587791-Reviews-Bloom_Brasserie-Dublin_County_Dublin.html,983.0,Farest,0.001017293997965412,0.34078492184950826
53.34135269999999,-6.2593086,/Restaurant_Review-g186605-d11727304-Reviews-Lemon_and_Duke_Bar-Dublin_County_Dublin.html,118.0,Closest,0.00847457627118644,2.838911679475141
53.3366158712513,-6.264398533952558,/Restaurant_Review-g186605-d5821541-Reviews-Gerry_s_Coffee_Shop-Dublin_County_Dublin.html,345.0,Close,0.002898550724637681,0.9709900816755554
53.33475878087824,-6.254391740424127,/Restaurant_Review-g186605-d1146791-Reviews-Dax_Restaurant-Dublin_County_Dublin.html,519.0,Far,0.0019267822736030828,0.64545583463982
53.34283879999999,-6.260205699999998,/Restaurant_Review-g186605-d12930262-Reviews-The_Little_Pig_Speakeasy-Dublin_County_Dublin.html,167.0,Closest,0.005988023952095809,2.0059375938806387
53.3336877,-6.2458595,/Restaurant_Review-g186605-d2480052-Reviews-Keshk_Cafe-Dublin_County_Dublin.html,917.0,Farest,0.0010905125408942203,0.3653125170971283
53.350653799999996,-6.279746,/Restaurant_Review-g186605-d10769716-Reviews-Lavanda_Restaurant-Dublin_County_Dublin.html,406.0,Far,0.0024630541871921183,0.8251024093055829
53.342118000000006,-6.254771,/Restaurant_Review-g186605-d16827337-Reviews-JP_Mooneys-Dublin_County_Dublin.html,217.0,Close,0.004608294930875576,1.5437399916039936
53.344229500000004,-6.2638641999999995,/Restaurant_Review-g186605-d15038602-Reviews-Crow_Street_Restaurant-Dublin_County_Dublin.html,391.0,Close,0.0025575447570332483,0.8567559544196078
53.3462713,-6.268193109484197,/Restaurant_Review-g186605-d1923786-Reviews-SOUP_DRAGON-Dublin_County_Dublin.html,231.0,Close,0.004329004329004329,1.4501799921128424
53.3468366,-6.2790392,/Restaurant_Review-g186605-d9976712-Reviews-Urbanity-Dublin_County_Dublin.html,100.0,Closest,0.01,3.349915781780666
53.35135331510861,-6.2699492074417185,/Restaurant_Review-g186605-d11915576-Reviews-Boco_Bar_Oven-Dublin_County_Dublin.html,293.0,Close,0.0034129692832764505,1.143315966478043
53.34659185284414,-6.281091578043907,/Restaurant_Review-g186605-d3674448-Reviews-PHX_Bistro-Dublin_County_Dublin.html,215.0,Close,0.004651162790697674,1.5581003636189146
53.3529906,-6.2617293,/Restaurant_Review-g186605-d13414303-Reviews-Restaurant_SIX-Dublin_County_Dublin.html,100.0,Closest,0.01,3.349915781780666
53.35297315,-6.265081789368626,/Restaurant_Review-g186605-d11804698-Reviews-Mr_Fox_Restaurant-Dublin_County_Dublin.html,182.0,Closest,0.005494505494505495,1.840613066912454
53.346902,-6.255632,/Restaurant_Review-g186605-d3873866-Reviews-The_Vintage_Kitchen-Dublin_County_Dublin.html,230.0,Close,0.004347826086956522,1.456485122513333
53.3556416,-6.2645931,/Restaurant_Review-g186605-d3337240-Reviews-Lovinspoon-Dublin_County_Dublin.html,392.0,Close,0.002551020408163265,0.8545703524950679
53.3445818,-6.263884200000001,/Restaurant_Review-g186605-d804494-Reviews-F_X_Buckley_Steakhouse_Temple_Bar-Dublin_County_Dublin.html,366.0,Close,0.00273224043715847,0.9152775360056465
53.338266350160225,-6.253948036936138,/Restaurant_Review-g186605-d5322567-Reviews-Etto-Dublin_County_Dublin.html,494.0,Far,0.0020242914979757085,0.6781206035993251
53.343321200000005,-6.259870599999998,/Restaurant_Review-g186605-d6849117-Reviews-The_Blind_Pig_Speakeasy-Dublin_County_Dublin.html,183.0,Closest,0.00546448087431694,1.830555072011293
53.3398286,-6.258868531446452,/Restaurant_Review-g186605-d6522141-Reviews-Beanhive-Dublin_County_Dublin.html,178.0,Closest,0.0056179775280898875,1.881975158303745
53.35404000000001,-6.2565665,/Restaurant_Review-g186605-d15360635-Reviews-One_Society-Dublin_County_Dublin.html,282.0,Close,0.0035460992907801418,1.1879133977945624
53.342078,-6.2625910000000005,/Restaurant_Review-g186605-d13536271-Reviews-SOLE_Seafood_and_Grill-Dublin_County_Dublin.html,303.0,Close,0.0033003300330033004,1.1055827662642463
