Neighbourhood,Price per sq metres
Dublin 2,4.988359627447253
Dublin 4,4.262322752328455
Dublin 1,3.665173921307736
Dublin 7,3.4450864854590377
Dublin 6,3.2442425394411707
Dublin 8,2.9782626877019576
Dublin 5,2.8218969777608818
Dublin 9,2.793506937844516
Dublin 3,2.4800836342900587
Dublin 11,1.70170689982893
Dublin 6w,1.695031362858772
Dublin 10,1.3183045048469872
Dublin 12,1.0
