combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures,knn_k
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Museum', 'Company']",0.4179442508710801,0.6666666666666666,0.23809523809523808,0.015663865585893295,0.5008130081300814,0.6190476190476191,0.40476190476190477,0.0047995537695546195,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Museum', 'Liffey']",0.3937862950058072,0.6428571428571429,0.21428571428571427,0.015247676107920865,0.5105691056910568,0.5714285714285714,0.4146341463414634,0.002069602776664901,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Museum', 'Price Area']",0.39175377468060396,0.5853658536585366,0.21428571428571427,0.017221433090388642,0.5246806039488966,0.6190476190476191,0.4146341463414634,0.004349954338269119,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Restaurant', 'Company']",0.41800232288037165,0.6666666666666666,0.23809523809523808,0.017782094396354618,0.498548199767712,0.5952380952380952,0.3333333333333333,0.005291516765341871,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Restaurant', 'Liffey']",0.3962253193960511,0.6190476190476191,0.23809523809523808,0.014847215308887784,0.5033681765389083,0.5952380952380952,0.36585365853658536,0.0052927679102575,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Restaurant', 'Price Area']",0.41068524970963993,0.5952380952380952,0.23809523809523808,0.013393172458354747,0.5152148664343786,0.6190476190476191,0.36585365853658536,0.008620948280164733,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Company', 'Liffey']",0.37468060394889663,0.5238095238095238,0.19047619047619047,0.010172502869876882,0.5036004645760743,0.5476190476190477,0.40476190476190477,0.0015622651995559293,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Company', 'Price Area']",0.4179442508710801,0.6341463414634146,0.23809523809523808,0.01621814639002538,0.5030778164924508,0.6428571428571429,0.4146341463414634,0.005544497592810674,6,10
"['Hotel', 'Tourism', 'Pub', 'Luas', 'Liffey', 'Price Area']",0.39384436701509873,0.5714285714285714,0.2619047619047619,0.010283251115238878,0.5154471544715447,0.5952380952380952,0.42857142857142855,0.0019035073874880115,6,10
"['Hotel', 'Tourism', 'Pub', 'Museum', 'Restaurant', 'Company']",0.4132404181184669,0.6428571428571429,0.2619047619047619,0.017069474627050902,0.5081881533101045,0.5952380952380952,0.38095238095238093,0.005605901492066191,6,10
"['Hotel', 'Tourism', 'Pub', 'Museum', 'Restaurant', 'Liffey']",0.4247967479674797,0.6666666666666666,0.2619047619047619,0.01367465983022199,0.5393728222996514,0.6666666666666666,0.42857142857142855,0.004939479658609428,6,10
"['Hotel', 'Tourism', 'Pub', 'Museum', 'Restaurant', 'Price Area']",0.4465156794425087,0.5952380952380952,0.23809523809523808,0.01094205141902091,0.5488966318234612,0.6428571428571429,0.4523809523809524,0.003044821339203935,6,10
"['Hotel', 'Tourism', 'Pub', 'Museum', 'Company', 'Liffey']",0.39396051103368174,0.6666666666666666,0.23809523809523808,0.019406181667590693,0.47456445993031365,0.6190476190476191,0.38095238095238093,0.004158846167854413,6,10
"['Hotel', 'Tourism', 'Pub', 'Museum', 'Company', 'Price Area']",0.41074332171893146,0.5714285714285714,0.21428571428571427,0.014424658818514517,0.5202671312427409,0.5952380952380952,0.30952380952380953,0.007280614605548743,6,10
"['Hotel', 'Tourism', 'Pub', 'Museum', 'Liffey', 'Price Area']",0.4010452961672474,0.5476190476190477,0.23809523809523808,0.010745426070487686,0.5249709639953541,0.6190476190476191,0.38095238095238093,0.0043530400460799045,6,10
"['Hotel', 'Tourism', 'Pub', 'Restaurant', 'Company', 'Liffey']",0.37247386759581874,0.6666666666666666,0.16666666666666666,0.024058417338777668,0.4650987224157956,0.5714285714285714,0.36585365853658536,0.006784001127716604,6,10
"['Hotel', 'Tourism', 'Pub', 'Restaurant', 'Company', 'Price Area']",0.3844947735191638,0.5714285714285714,0.16666666666666666,0.01920783641634326,0.4720673635307782,0.5714285714285714,0.3333333333333333,0.004790532711200683,6,10
"['Hotel', 'Tourism', 'Pub', 'Restaurant', 'Liffey', 'Price Area']",0.4083623693379791,0.5714285714285714,0.21428571428571427,0.012803481892459542,0.5106852497096399,0.7142857142857143,0.3333333333333333,0.009970053458623191,6,10
"['Hotel', 'Tourism', 'Pub', 'Company', 'Liffey', 'Price Area']",0.3795005807200929,0.5714285714285714,0.21428571428571427,0.012887956094593301,0.4841463414634147,0.5952380952380952,0.35714285714285715,0.00564836622731583,6,10
"['Hotel', 'Tourism', 'Luas', 'Museum', 'Restaurant', 'Company']",0.40098722415795585,0.5714285714285714,0.2619047619047619,0.010575057903391378,0.49384436701509865,0.5952380952380952,0.38095238095238093,0.004054060251901673,6,10
"['Hotel', 'Tourism', 'Luas', 'Museum', 'Restaurant', 'Liffey']",0.37212543554006966,0.5952380952380952,0.2619047619047619,0.011061051825052844,0.48670150987224153,0.5714285714285714,0.4146341463414634,0.0028827896417341486,6,10
"['Hotel', 'Tourism', 'Luas', 'Museum', 'Restaurant', 'Price Area']",0.3772357723577236,0.5714285714285714,0.21428571428571427,0.014785848505573157,0.5055749128919861,0.6428571428571429,0.3902439024390244,0.005460603436298176,6,10
"['Hotel', 'Tourism', 'Luas', 'Museum', 'Company', 'Liffey']",0.39854819976771194,0.5952380952380952,0.2619047619047619,0.00928687100459855,0.49401858304297336,0.6190476190476191,0.40476190476190477,0.004566378802165326,6,10
"['Hotel', 'Tourism', 'Luas', 'Museum', 'Company', 'Price Area']",0.4128919860627177,0.6190476190476191,0.2857142857142857,0.01284045642845677,0.520267131242741,0.5952380952380952,0.42857142857142855,0.0030576126940960804,6,10
"['Hotel', 'Tourism', 'Luas', 'Museum', 'Liffey', 'Price Area']",0.3721835075493612,0.5952380952380952,0.23809523809523808,0.012141801594720777,0.5036004645760743,0.5952380952380952,0.40476190476190477,0.003636670214387559,6,10
"['Hotel', 'Tourism', 'Luas', 'Restaurant', 'Company', 'Liffey']",0.377061556329849,0.5714285714285714,0.23809523809523808,0.010587926822523573,0.4843786295005808,0.5952380952380952,0.35714285714285715,0.005570289388807279,6,10
"['Hotel', 'Tourism', 'Luas', 'Restaurant', 'Company', 'Price Area']",0.41538908246225315,0.6585365853658537,0.23809523809523808,0.019543561426156823,0.4959930313588852,0.5952380952380952,0.36585365853658536,0.005900443262770111,6,10
"['Hotel', 'Tourism', 'Luas', 'Restaurant', 'Liffey', 'Price Area']",0.38658536585365855,0.5714285714285714,0.2619047619047619,0.010004441395832573,0.5177700348432056,0.6428571428571429,0.40476190476190477,0.0037705798163009036,6,10
"['Hotel', 'Tourism', 'Luas', 'Company', 'Liffey', 'Price Area']",0.3887921022067363,0.5952380952380952,0.23809523809523808,0.010204772966097009,0.4864692218350755,0.6190476190476191,0.38095238095238093,0.004237101741350915,6,10
"['Hotel', 'Tourism', 'Museum', 'Restaurant', 'Company', 'Liffey']",0.38670150987224156,0.6190476190476191,0.19047619047619047,0.01591526814969494,0.4772357723577236,0.5952380952380952,0.35714285714285715,0.005823104970721185,6,10
"['Hotel', 'Tourism', 'Museum', 'Restaurant', 'Company', 'Price Area']",0.4179442508710801,0.5476190476190477,0.23809523809523808,0.012359089382332353,0.5228803716608594,0.6190476190476191,0.3333333333333333,0.006096360416068074,6,10
