combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures
['Hotel'],0.35830429732868757,0.5952380952380952,0.0,0.02639747154066862,0.5531358885017422,0.6428571428571429,0.43902439024390244,0.0037728089451128455,1.0
['Tourism'],0.22218350754936117,0.47619047619047616,0.0,0.03450922070196312,0.5138792102206736,0.6666666666666666,0.34146341463414637,0.011169685601783842,1.0
['University'],0.2671893147502904,0.5609756097560976,0.14285714285714285,0.015246057375954549,0.5336817653890825,0.6097560975609756,0.3902439024390244,0.00472480882101006,1.0
['Cafe'],0.16463414634146342,0.4523809523809524,0.047619047619047616,0.016133311345557462,0.5234030197444832,0.7142857142857143,0.36585365853658536,0.011836441298708656,1.0
['Pub'],0.3950638792102207,0.5238095238095238,0.24390243902439024,0.009152179015568154,0.5477932636469223,0.7380952380952381,0.36585365853658536,0.011278518347652365,1.0
['Luas'],0.1481997677119628,0.36585365853658536,0.0,0.022194757736527092,0.5051684088269455,0.6097560975609756,0.38095238095238093,0.004721871496962855,1.0
['Museum'],0.16527293844367014,0.3902439024390244,0.0,0.017988442253760516,0.5235772357723578,0.6904761904761905,0.3170731707317073,0.01201370256609485,1.0
['Restaurant'],0.15180023228803716,0.40476190476190477,0.0,0.021264553412084643,0.5040650406504066,0.6666666666666666,0.34146341463414637,0.01172582457531892,1.0
['Company'],0.14529616724738675,0.30952380952380953,0.0,0.01023178892814314,0.5439024390243903,0.6341463414634146,0.38095238095238093,0.007688720540764393,1.0
['Liffey'],0.336527293844367,0.5952380952380952,0.21951219512195122,0.011933646153285822,0.5166666666666666,0.6341463414634146,0.2682926829268293,0.009348854949475327,1.0
['Price Area'],0.198664343786295,0.3333333333333333,0.12195121951219512,0.004254462641689631,0.4809523809523809,0.5853658536585366,0.3333333333333333,0.005089144918328229,1.0
"['Hotel', 'Tourism']",0.29506387921022065,0.5714285714285714,0.07317073170731707,0.023104596389418346,0.5359465737514518,0.6428571428571429,0.3902439024390244,0.008471664096929673,2.0
"['Hotel', 'University']",0.27404181184668996,0.40476190476190477,0.17073170731707318,0.0050139177225520404,0.49001161440185825,0.6190476190476191,0.3902439024390244,0.006014250237076786,2.0
