Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 6,53.322556,-6.256131,Bamboo,53.32188571738666,-6.2529809,Chinese Restaurant
Dublin 6,53.322556,-6.252547,Bunsen,53.32401992841422,-6.251677172729034,Burger Joint
Dublin 6,53.322556,-6.252547,The Butcher Grill,53.32428802159964,-6.252727790636183,Steakhouse
Dublin 6,53.322556,-6.252547,La Bodega,53.32407420573651,-6.251773712393442,Tapas Restaurant
Dublin 6,53.322556,-6.252547,Mima,53.32104340263711,-6.254757946586451,Café
Dublin 6,53.322556,-6.252547,TriBeCa,53.32436697233526,-6.252996317860284,American Restaurant
Dublin 6,53.322556,-6.252547,Butlers Chocolate Café,53.32456624542825,-6.2533982105337635,Café
Dublin 6,53.322556,-6.252547,Layla’s,53.32369,-6.250781,Restaurant
Dublin 6,53.322556,-6.252547,The Wild Goose,53.323305,-6.250069,French Restaurant
Dublin 6,53.322556,-6.252547,Cinnamon,53.32282860309258,-6.252679824829102,Restaurant
Dublin 6,53.322556,-6.252547,Nightmarket,53.323893,-6.251195,Thai Restaurant
Dublin 6,53.322556,-6.252547,Deli 97,53.32404476481452,-6.25168734594242,Deli / Bodega
Dublin 6,53.322556,-6.252547,Luigi's,53.323873,-6.251319,Fast Food Restaurant
Dublin 6,53.322556,-6.252547,Bamboo,53.32188571738666,-6.2529809,Chinese Restaurant
Dublin 6,53.322556,-6.252547,Antica Venezia,53.32430340065113,-6.252744941189423,Italian Restaurant
Dublin 6,53.322556,-6.248964,Bunsen,53.32401992841422,-6.251677172729034,Burger Joint
Dublin 6,53.322556,-6.248964,Layla’s,53.32369,-6.250781,Restaurant
Dublin 6,53.322556,-6.248964,The Wild Goose,53.323305,-6.250069,French Restaurant
Dublin 6,53.322556,-6.248964,Cinnamon,53.32282860309258,-6.252679824829102,Restaurant
Dublin 6,53.322556,-6.248964,Nightmarket,53.323893,-6.251195,Thai Restaurant
Dublin 6,53.322556,-6.248964,Luigi's,53.323873,-6.251319,Fast Food Restaurant
Dublin 6,53.322556,-6.248964,Deli 97,53.32404476481452,-6.25168734594242,Deli / Bodega
Dublin 6,53.322556,-6.241797,Marco Pierre White Courtyard,53.322693937636245,-6.238742673320479,Restaurant
Dublin 6,53.322556,-6.241797,O'Connells,53.32292082683365,-6.238303543839764,Restaurant
Dublin 6,53.322556,-6.241797,Café Java,53.32452093630326,-6.240511076360754,Café
Dublin 4,53.322556,-6.238214,Mulberry Garden,53.32265875223265,-6.236801375197792,Restaurant
Dublin 4,53.322556,-6.238214,Marco Pierre White Courtyard,53.322693937636245,-6.238742673320479,Restaurant
Dublin 4,53.322556,-6.238214,Bakers,53.322022886559985,-6.236611566964904,Café
Dublin 4,53.322556,-6.238214,O'Connells,53.32292082683365,-6.238303543839764,Restaurant
Dublin 4,53.322556,-6.238214,Borza,53.322436,-6.237578,Fast Food Restaurant
Dublin 4,53.322556,-6.238214,The Natural Bakery,53.322635,-6.2379,Bakery
Dublin 4,53.322556,-6.238214,Eddie Rocket's,53.32215628047899,-6.237519098489997,Diner
Dublin 4,53.322556,-6.238214,Abrakebabra,53.322555,-6.237678366666667,Fast Food Restaurant
Dublin 4,53.322556,-6.234631,Mulberry Garden,53.32265875223265,-6.236801375197792,Restaurant
Dublin 4,53.322556,-6.234631,Bakers,53.322022886559985,-6.236611566964904,Café
Dublin 4,53.322556,-6.234631,The Greenery,53.320967228936034,-6.234802696107715,Restaurant
Dublin 4,53.322556,-6.234631,O'Connells,53.32292082683365,-6.238303543839764,Restaurant
Dublin 4,53.322556,-6.234631,Borza,53.322436,-6.237578,Fast Food Restaurant
Dublin 4,53.322556,-6.234631,Mao at Home,53.32106535531274,-6.234606264465098,Thai Restaurant
Dublin 4,53.322556,-6.234631,The Natural Bakery,53.322635,-6.2379,Bakery
Dublin 4,53.322556,-6.234631,Eddie Rocket's,53.32215628047899,-6.237519098489997,Diner
Dublin 4,53.322556,-6.234631,Abrakebabra,53.322555,-6.237678366666667,Fast Food Restaurant
Dublin 4,53.322556,-6.231047,Panda Play Cafe,53.321526,-6.2287664,Café
Dublin 12,53.324799,-6.295547,V-Top Big Bite,53.3234143663671,-6.295359134674072,Fish & Chips Shop
Dublin 12,53.324799,-6.295547,Mantras,53.32423957907622,-6.296214613845652,Indian Restaurant
Dublin 12,53.324799,-6.295547,Indian Spice,53.324516580826646,-6.295938491821289,Indian Restaurant
Dublin 12,53.324799,-6.295547,Apache Pizza,53.32297149367762,-6.2952671944877,Pizza Place
Dublin 6,53.324799,-6.281214,Noshington Cafe,53.324312235759784,-6.279609616240134,Café
Dublin 6,53.324799,-6.27763,Noshington Cafe,53.324312235759784,-6.279609616240134,Café
Dublin 6,53.324799,-6.270464,Lil Portie,53.325363,-6.266945,Caribbean Restaurant
Dublin 6,53.324799,-6.26688,Umi Falafel,53.32460317198452,-6.2652399510660395,Falafel Restaurant
