combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures
['Hotel'],0.2689250225835592,0.37037037037037035,0.17073170731707318,0.0032051463041981613,0.5327311050888286,0.654320987654321,0.41975308641975306,0.0040075614915204335,1
['Tourism'],0.20713640469738032,0.32098765432098764,0.07407407407407407,0.008003605209192712,0.5500602228244504,0.6172839506172839,0.4444444444444444,0.004106718118102926,1
['University'],0.3464317976513099,0.48148148148148145,0.1111111111111111,0.020667476891236502,0.5536886479975911,0.6049382716049383,0.48148148148148145,0.0015562694888884717,1
['Cafe'],0.3810599217103282,0.5061728395061729,0.24691358024691357,0.005380055255937485,0.5537639265281542,0.6419753086419753,0.4444444444444444,0.0037221842316117965,1
['Pub'],0.28861788617886175,0.4444444444444444,0.16049382716049382,0.011077794524474065,0.5611863896416742,0.6419753086419753,0.43902439024390244,0.0037039312846873992,1
['Luas'],0.3883769948810599,0.5185185185185185,0.18518518518518517,0.0076906197012052094,0.5746612466124661,0.7160493827160493,0.5061728395061729,0.0038778097297852074,1
['Museum'],0.44152363745859685,0.5555555555555556,0.36585365853658536,0.0034440537486441483,0.5648148148148149,0.6296296296296297,0.49382716049382713,0.0029054260021338205,1
['Restaurant'],0.3132791327913279,0.48148148148148145,0.18518518518518517,0.012026942324359842,0.5587021981330924,0.654320987654321,0.45121951219512196,0.004111773861390125,1
['Company'],0.34757603131586867,0.5432098765432098,0.18518518518518517,0.019306665919548216,0.5426076482987051,0.6296296296296297,0.4691358024691358,0.002409946612765335,1
['Liffey'],0.18244504667268893,0.3333333333333333,0.0,0.010428875003728792,0.5401686239084613,0.691358024691358,0.4634146341463415,0.00391965992328798,1
['Price Area'],0.40307136404697375,0.5802469135802469,0.0,0.02985534644399273,0.5401234567901235,0.6419753086419753,0.48148148148148145,0.0023262459990855047,1
"['Hotel', 'Tourism']",0.2923366455886781,0.37037037037037035,0.2073170731707317,0.002757456654662903,0.5314814814814814,0.6049382716049383,0.4444444444444444,0.0018171772595640915,2
"['Hotel', 'University']",0.2503763926528154,0.3333333333333333,0.08641975308641975,0.004325747814338527,0.5636103583258055,0.654320987654321,0.4567901234567901,0.004247473783078692,2
"['Hotel', 'Cafe']",0.29238181270701596,0.4074074074074074,0.17073170731707318,0.004015217642222927,0.5648449262270401,0.6419753086419753,0.4444444444444444,0.0033572912187016086,2
"['Hotel', 'Pub']",0.3305931948208371,0.43209876543209874,0.21951219512195122,0.003467562592250767,0.5401686239084613,0.6296296296296297,0.4634146341463415,0.002883232549412048,2
"['Hotel', 'Luas']",0.3785456187895212,0.5308641975308642,0.13580246913580246,0.011370245382168768,0.5672538392050587,0.7407407407407407,0.49382716049382713,0.005111931536023846,2
"['Hotel', 'Museum']",0.4107196627521831,0.5432098765432098,0.3170731707317073,0.006048159581599162,0.5956037338151159,0.691358024691358,0.49382716049382713,0.0030630042992858568,2
"['Hotel', 'Restaurant']",0.33675097862089726,0.4691358024691358,0.23170731707317074,0.0042370775936003855,0.5562180066245107,0.6790123456790124,0.4634146341463415,0.003957838220022937,2
"['Hotel', 'Company']",0.34525745257452567,0.4567901234567901,0.24691358024691357,0.0026841173226212506,0.5523788015657934,0.6172839506172839,0.4444444444444444,0.0024900734796434246,2
"['Hotel', 'Liffey']",0.3861638060825052,0.5061728395061729,0.2073170731707317,0.006676847288898465,0.5745558566696778,0.6296296296296297,0.5061728395061729,0.0017465063372236987,2
"['Hotel', 'Price Area']",0.3194519722975007,0.4567901234567901,0.19753086419753085,0.0069475931769589026,0.5807738632941885,0.654320987654321,0.5061728395061729,0.0029463543113131953,2
"['Tourism', 'University']",0.2626317374284854,0.38271604938271603,0.12345679012345678,0.0064592161730108715,0.5389340560072267,0.6049382716049383,0.41975308641975306,0.0030418564950479374,2
