combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures
['Hotel'],0.5283972125435541,0.7857142857142857,0.2682926829268293,0.020954515655161526,0.5823461091753775,0.7317073170731707,0.4634146341463415,0.006047636583882016,1
['Tourism'],0.37259001161440186,0.7380952380952381,0.12195121951219512,0.034408859320051645,0.5067363530778165,0.6904761904761905,0.34146341463414637,0.009044476009717787,1
['University'],0.37125435540069684,0.7804878048780488,0.09523809523809523,0.04662447509243635,0.5341463414634146,0.6585365853658537,0.36585365853658536,0.013140650271609738,1
['Cafe'],0.2800232288037166,0.8292682926829268,0.07142857142857142,0.0683686823926477,0.49477351916376316,0.5952380952380952,0.36585365853658536,0.005865542727104723,1
['Pub'],0.44227642276422774,0.6097560975609756,0.09523809523809523,0.02343648702788671,0.5552264808362369,0.6904761904761905,0.36585365853658536,0.009542725081307556,1
['Luas'],0.21289198606271773,0.5714285714285714,0.04878048780487805,0.02803833966662215,0.5513937282229966,0.6585365853658537,0.40476190476190477,0.006293849088316666,1
['Museum'],0.4127177700348432,0.6585365853658537,0.04878048780487805,0.037509800073112734,0.5335656213704996,0.6428571428571429,0.43902439024390244,0.004557661256055069,1
['Restaurant'],0.26701509872241586,0.5238095238095238,0.0,0.023481447308251083,0.4800232288037167,0.6190476190476191,0.36585365853658536,0.005692554237637948,1
['Company'],0.2569686411149826,0.6190476190476191,0.023809523809523808,0.04319648640737279,0.5048199767711964,0.5853658536585366,0.4146341463414634,0.0021750395577624275,1
['Liffey'],0.36382113821138207,0.4878048780487805,0.21951219512195122,0.00594285404028754,0.5508130081300814,0.6829268292682927,0.4634146341463415,0.004189227743447171,1
['Price Area'],0.19134727061556328,0.3333333333333333,0.04878048780487805,0.006096903365748441,0.4809523809523809,0.5853658536585366,0.3333333333333333,0.005089144918328229,1
"['Hotel', 'Tourism']",0.5285714285714287,0.7142857142857143,0.1951219512195122,0.023440979009093227,0.5216608594657377,0.6341463414634146,0.4146341463414634,0.0036845071163504077,2
"['Hotel', 'University']",0.3626596980255517,0.7073170731707317,0.023809523809523808,0.04005304382312115,0.555574912891986,0.6585365853658537,0.4634146341463415,0.004708624873705183,2
"['Hotel', 'Cafe']",0.34169570267131244,0.8333333333333334,0.07142857142857142,0.06343070006110713,0.5408246225319395,0.6428571428571429,0.43902439024390244,0.0038140056736555425,2
"['Hotel', 'Pub']",0.5619047619047619,0.8571428571428571,0.24390243902439024,0.05088046878477744,0.5871080139372823,0.7560975609756098,0.3902439024390244,0.008980792396276376,2
"['Hotel', 'Luas']",0.39047619047619053,0.6341463414634146,0.04878048780487805,0.03140307640010198,0.5342624854819976,0.6829268292682927,0.38095238095238093,0.006702359706523895,2
"['Hotel', 'Museum']",0.3833914053426249,0.7073170731707317,0.17073170731707318,0.02781479278207416,0.5871660859465737,0.7317073170731707,0.4146341463414634,0.006805988903592371,2
"['Hotel', 'Restaurant']",0.4,0.7857142857142857,0.14634146341463414,0.04558887445519552,0.5432055749128921,0.6666666666666666,0.43902439024390244,0.005183732822893186,2
"['Hotel', 'Company']",0.509233449477352,0.7142857142857143,0.34146341463414637,0.011526211317364542,0.5679442508710802,0.7073170731707317,0.4634146341463415,0.006754968495429103,2
